Coptic-Arabic,Arabic,English,Error,Vocalized
ⲗⲉⲙ,لم,did not,,
ⲑⲉⲑⲗⲁⲕⲛⲓ,تطلقنى,you allow me,,
ϥⲉⲕⲁⲗ,فقال,then he said,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲗⲉⲙ,لم,did not,,
...,,...,1,
ⲑⲓⲕⲁⲍ[ⲛⲓ],تيقظ[ني],you wake me,1,
...,,...,1,
ⲗⲟϩ,له,to him,,
ⲙⲉ,ما,not,,
ϫⲉⲥⲁⲣⲧ,جسرت,I dared,,
ⲉⲓⲕⲁⲍⲁⲕ,ايقظك,I wake you,,
ⲗⲓⲉⲗⲗⲉ,لئلا,lest,,
ⲉⲑϩⲉⲡⲁⲕ,اتعبك,I tire you,,
ϥⲉⲡⲉⲣⲓⲕ,فبارك,then he blessed,,
ϩⲁⲗⲓϩ,عليه,above him,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲃⲉⲗⲉⲙⲙⲉ,ولما,and when,,
ⲕⲁⲙȣ,قاموا,they stood,,
ϩⲁⲙⲉⲗȣ,عملوا,they did,,
ⲉⲥⲥⲁⲗⲉϩ,الصلاة,the prayer,,
ⲉⲗϫⲉⲙⲉϩⲁ,الجامعة,the common,,
ⲉⲑⲗⲁⲕ,اطلق,he allowed,,
ⲉⲗⲁϧ,الاخ,the brother,,
ⲗⲉⲓⲉⲥⲑⲉⲣⲓϩ,ليستريح,to rest,,
ⲃⲉⲓⲉⲛⲉⲙ,وينام,and he sleep,,
ⲕⲁⲗⲓⲗ,قليلا,a little,,
ⲃⲉⲭⲉⲛ,وكان,and he was,,
ⲉⲓⲍⲁ,أيضا,also,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ϫⲉⲗⲉⲥ,جلس,he sat,,
ϥⲓ,في,in,,
ⲙⲉⲥⲛⲉⲇⲟϩ,مسنده,his cushion,,
ⲓⲉⲧϩⲉⲡ,يتعب,he being tired,,
ⲛⲉϥⲥⲟϩ,نفسه,himself,,
ⲓⲗⲉ,الى,towards,,
ⲡⲟⲕⲣⲁ,بكرة,morning,,
ⲃⲉϥⲓⲙⲉ,وفيما,and while,,
ϩȣ,هو,he,,
ϫⲉⲗⲉⲥ,جالس,sitting,,
ⲥⲁⲣ,صار,having become,,
ϥⲓ,في,in,,
ⲥⲉϩȣ,سهو,ecstacy,,
...,,...,1,
ⲓⲇⲉ,اذا,so,,
ⲃⲉϩⲓⲇ,واحد,one,,
ⲓⲉⲣⲓϩ,يريه,he shows him,,
...,,...,1,
[ⲙȣ]ⲍⲁϩ,[مو]ضعا,a place,1,
ⲙⲉⲙⲑⲉⲗⲓ,ممتلئا,full,,
...,,...,1,
ⲃⲉϥⲓϩ,وفيه,and in it,,
ⲭⲟⲣ[ⲥⲓ],كر[سيا],a chair,1,
